Permiso CRE,Place ID,Marca,Estacion,Direccion,Municipio,Estado,Region,Lat,Lon
CNE/PL/138/EXP/ES/2025,30386,,GRUPO GASOLINERO DE REYNOSA SA DE CV,,Reynosa,Tamaulipas,Noreste,26.04973,-98.31435
CNE/PL/139/EXP/ES/2025,30442,,GAZPRO SA DE CV,,Coronango,Puebla,Centro,19.14372,-98.26463
CNE/PL/14/EXP/ES/2025,30225,,ESTACION DE SERVICIOS ATENAS DEL SUR SA DE CV,,Chilapa de Álvarez,Guerrero,Sur,17.59307,-99.15056
CNE/PL/140/EXP/ES/2025,30362,,GAZPRO SA DE CV,,Tapachula,Chiapas,Sur,14.87081,-92.28812
CNE/PL/141/EXP/ES/2025,30363,,SERVICIO TRECE Y CARRERA SA DE CV,,Victoria,Tamaulipas,Noreste,23.71869,-99.09339
CNE/PL/142/EXP/ES/2025,30446,,AUTOSERVICIO CORREDOR TURISTICO LOS CABOS SA DE CV,,Los Cabos,Baja California Sur,Noroeste,22.90075,-109.8969
CNE/PL/143/EXP/ES/2025,30448,,COMBUSTIBLES DE ACUÑA SA DE CV,,Acuña,Coahuila,Noreste,29.32146,-100.9828
CNE/PL/144/EXP/ES/2025,30364,,PETRO FUELS ZACATAL SA DE CV,,Linares,Nuevo León,Noreste,24.86397,-99.52829
CNE/PL/145/EXP/ES/2025,30389,,ESTACION RJ SA DE CV,,Santa Catarina,Nuevo León,Noreste,25.68792,-100.4943
CNE/PL/146/EXP/ES/2025,30365,,GRUPO MAHILA S DE RL DE CV,,Fresnillo,Zacatecas,Occidente,23.17565,-102.8318
CNE/PL/147/EXP/ES/2025,30366,,AUTOSERVICIO SAN ANTONIO SA DE CV,,,Baja California Sur,Noroeste,24.12462,-110.319
CNE/PL/148/EXP/ES/2025,30367,,GRUPO SUGASO SA DE CV,,,,,20.77353,-107.3501
CNE/PL/149/EXP/ES/2025,30390,,MULTISERVICIOS  YAXCHILAN SA DE CV,,Palenque,Chiapas,Sur,17.50935,-91.9903
CNE/PL/15/EXP/ES/2025,30226,,PROYECTOS ENERGETICOS ALJO SA DE CV,,Morelia,Michoacán,Occidente,19.72019,-101.1781
CNE/PL/150/EXP/ES/2025,30450,,SERVICIO MENDOZA SA DE CV,,,Baja California,Noroeste,31.99873,-116.6361
CNE/PL/151/EXP/ES/2025,30368,,COMERCIALIZADORA LUMOTRON S DE RL DE CV,,Atlacomulco,México,Centro,19.78274,-99.86552
CNE/PL/152/EXP/ES/2025,30452,,ESTACION DE SERVICIO G7 SA DE CV,,Tamasopo,San Luis Potosí,Noreste,21.95531,-99.34977
CNE/PL/153/EXP/ES/2025,30369,,SERVICIO DEL VALLE DE CALVILLO SA DE CV,,Calvillo,Aguascalientes,Occidente,21.86927,-102.6874
CNE/PL/154/EXP/ES/2025,30453,,ESTACION DE SERVICIO LA MINTZITA SA DE CV,,Morelia,Michoacán,Occidente,19.68882,-101.2791
CNE/PL/155/EXP/ES/2025,30370,,MEXIENERGI SA DE CV,,El Marqués,Querétaro,Centro,20.59558,-100.3167
CNE/PL/156/EXP/ES/2025,30371,,INMOBILIARIA SAMICH SA DE CV,,Tepatitlán de Morelos,Jalisco,Occidente,20.77601,-102.7951
CNE/PL/157/EXP/ES/2025,30391,,OPERADORA DE COMBUSTIBLES NMG SA DE CV,,El Marqués,Querétaro,Centro,20.55105,-100.2125
CNE/PL/158/EXP/ES/2025,30394,,PHL SA DE CV,,Aguascalientes,Aguascalientes,Occidente,21.85883,-102.3145
CNE/PL/159/EXP/ES/2025,30372,,GRUPO GASOLINERO IBEROMEXICANO SA DE CV,,Ocoyucan,Puebla,Centro,18.98204,-98.29082
CNE/PL/16/EXP/ES/2025,30227,,GASOLINAS DIVERSAS SA DE CV,,Los Cabos,Baja California Sur,Noroeste,23.09751,-109.7132
CNE/PL/160/EXP/ES/2025,30373,,EUGENIA MARTINEZ GUERRERO,,Acateno,Puebla,Centro,20.13203,-97.21394
CNE/PL/161/EXP/ES/2025,30455,,CARR GAS GASOLINERAS SA DE CV,,Carmen,Campeche,Sureste,18.38295,-91.19635
