Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel,Tipo Diesel
2026-08-18,,,,GASOLINERA MARTÍN S.A. DE C.V.,PL/7773/EXP/ES/2015,Avenida Adolfo López Mateos Sur No. 1000,22.99,28.39,26.99,Diésel
2026-08-18,,,,GASOLINERA MARTÍN S.A. DE C.V.,PL/12668/EXP/ES/2015,Avenida Las Torres No. 6140,22.99,28.39,26.99,Automotriz
2026-08-18,,,,GASOLINERA MARTÍN S.A. DE C.V.,PL/12669/EXP/ES/2015,Avenida Las Torres No. 6165,22.99,28.39,26.99,Automotriz
2026-08-18,,,,COMBUSTRON 1272 S.A. DE C.V.,PL/22221/EXP/ES/2019,"AVENIDA LÁZARO CÁRDENAS NO. 4094, ESQUINA CON CALLE DON BOSCO",22.99,29.89,,
2026-08-18,,,,GASOLINERA PATRIA S.A. DE C.V.,PL/8906/EXP/ES/2015,Avenida Patria No. 2495,22.99,27.99,27.00,Automotriz
2026-08-18,,,,GRUPO GASOLINERO SAMARA S.A. DE C.V.,PL/9369/EXP/ES/2015,Prolongación Avenida Guadalupe N. 3439,22.99,28.39,26.99,DUBA
2026-08-18,,,,GASOLINERA MARTÍN S.A. DE C.V.,PL/11366/EXP/ES/2015,Prolongación Mariano Otero No. 79,22.99,28.39,26.99,Automotriz
2026-08-18,,,,DARA SERVICIOS S.A. DE C.V.,PL/5648/EXP/ES/2015,Timoteo Torres No. 2496,22.99,29.19,26.69,Automotriz
2026-08-18,,,,"Costco Gas, S.A. de C.V.",PL/25528/EXP/ES/2024,"Anillo Periférico (Manuel Gómez Morín) Fracción A, No. 1235",23.29,27.99,,
2026-08-18,,,,SERVICIOS ALCARAZ Y HERNÁNDEZ S.A. DE C.V.,PL/6506/EXP/ES/2015,Km 3 Carretera Guadalajara - Saltillo,23.39,28.59,,
2026-08-18,,,,RINCON ENERGÉTICO S.A. DE C.V.,PL/1944/EXP/ES/2015,Anillo Periférico No. 714,23.49,28.69,26.99,Diésel
2026-08-18,,,,"ESTACION COMPOSITORES, S.A. DE C.V.",PL/25649/EXP/ES/2024,AV. PATRIA 1297,23.49,28.49,,
2026-08-18,,,,MULTISERVICIO LA CALMA S.A. DE C.V.,PL/1669/EXP/ES/2015,Avenida La Calma No. 3486,23.49,28.49,,
2026-08-18,,,,ESTACIÓN GUADALUPE S.A. DE C.V.,PL/10106/EXP/ES/2015,Pintores 793,23.49,28.49,,
2026-08-18,,,,GASOLINERA LOS ROBLES S.A. DE C.V.,PL/6469/EXP/ES/2015,Calzada Juan Gil Preciado No. 7611,23.50,28.50,26.99,Automotriz
2026-08-18,,,,OPERADORA KINZA S.A. DE C.V.,PL/9585/EXP/ES/2015,Avenida Moctezuma Esquina Con Avenida Tepeyac S/N,23.59,28.19,,
