Fecha,Region,Estado,Municipio,Estacion,Permiso CRE,Direccion,Regular,Premium,Diesel
2026-08-17,No especificado,No especificado,No especificado,,PL/9999/EXP/ES/2015,,22.95,27.90,
2026-08-17,No especificado,No especificado,No especificado,,PL/9998/EXP/ES/2015,,24.50,30.50,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9997/EXP/ES/2015,,20.49,,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9996/EXP/ES/2015,,23.58,27.38,26.95
2026-08-17,No especificado,No especificado,No especificado,,PL/9995/EXP/ES/2015,,21.89,27.45,
2026-08-17,No especificado,No especificado,No especificado,,PL/9993/EXP/ES/2015,,23.69,27.79,27.29
2026-08-17,No especificado,No especificado,No especificado,,PL/9992/EXP/ES/2015,,21.99,27.41,25.39
2026-08-17,No especificado,No especificado,No especificado,,PL/9991/EXP/ES/2015,,23.99,27.29,27.29
2026-08-17,No especificado,No especificado,No especificado,,PL/9990/EXP/ES/2015,,23.99,27.79,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/999/EXP/ES/2015,,20.99,28.29,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9989/EXP/ES/2015,,23.95,27.95,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9988/EXP/ES/2015,,23.90,27.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9987/EXP/ES/2015,,23.89,29.99,26.89
2026-08-17,No especificado,No especificado,No especificado,,PL/9986/EXP/ES/2015,,23.59,27.79,27.29
2026-08-17,No especificado,No especificado,No especificado,,PL/9985/EXP/ES/2015,,23.99,26.18,25.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9984/EXP/ES/2015,,24.99,29.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9983/EXP/ES/2015,,23.90,27.74,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9982/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9981/EXP/ES/2015,,21.99,28.49,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9980/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/998/EXP/ES/2015,,23.99,28.99,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9979/EXP/ES/2015,,20.99,26.90,
2026-08-17,No especificado,No especificado,No especificado,,PL/9978/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9977/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9976/EXP/ES/2015,,23.97,28.27,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9975/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,PETRO SERVICIOS DE OCCIDENTE S.A. DE C.V.,PL/9974/EXP/ES/2015,Avenida Adolph B. Horn Jr. N0 11001,23.99,28.79,27.79
2026-08-17,No especificado,No especificado,No especificado,,PL/9973/EXP/ES/2015,,23.99,28.49,26.69
2026-08-17,No especificado,No especificado,No especificado,,PL/9972/EXP/ES/2015,,23.89,28.69,
2026-08-17,No especificado,No especificado,No especificado,,PL/9971/EXP/ES/2015,,23.50,27.10,
2026-08-17,No especificado,No especificado,No especificado,,PL/9970/EXP/ES/2015,,23.99,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/997/EXP/ES/2015,,21.99,29.59,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9969/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9968/EXP/ES/2015,,23.89,28.85,26.97
2026-08-17,No especificado,No especificado,No especificado,,PL/9967/EXP/ES/2015,,23.95,28.95,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9966/EXP/ES/2015,,23.99,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9965/EXP/ES/2015,,23.99,29.79,25.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9964/EXP/ES/2015,,23.99,28.91,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9963/EXP/ES/2015,,23.99,29.79,25.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9962/EXP/ES/2015,,23.95,28.95,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9961/EXP/ES/2015,,23.99,29.79,25.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9960/EXP/ES/2015,,24.39,,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/996/EXP/ES/2015,,23.99,29.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9958/EXP/ES/2015,,23.99,,27.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9957/EXP/ES/2015,,23.95,28.95,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9956/EXP/ES/2015,,23.99,27.74,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9955/EXP/ES/2015,,23.99,28.99,28.28
2026-08-17,No especificado,No especificado,No especificado,,PL/9954/EXP/ES/2015,,23.99,29.69,25.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9952/EXP/ES/2015,,23.99,27.74,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9951/EXP/ES/2015,,23.99,29.79,25.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9950/EXP/ES/2015,,23.99,28.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/995/EXP/ES/2015,,23.99,28.80,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9949/EXP/ES/2015,,23.99,28.69,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9948/EXP/ES/2015,,23.99,27.74,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9947/EXP/ES/2015,,23.99,28.69,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9946/EXP/ES/2015,,23.99,28.75,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9945/EXP/ES/2015,,23.99,29.99,
2026-08-17,No especificado,No especificado,No especificado,,PL/9944/EXP/ES/2015,,24.00,29.20,27.50
2026-08-17,No especificado,No especificado,No especificado,,PL/9943/EXP/ES/2015,,23.29,28.49,26.49
2026-08-17,No especificado,No especificado,No especificado,,PL/9942/EXP/ES/2015,,21.49,23.99,26.99
2026-08-17,No especificado,No especificado,No especificado,,PL/9941/EXP/ES/2015,,19.25,23.55,25.39
2026-08-17,No especificado,No especificado,No especificado,,PL/9940/EXP/ES/2015,,23.99,29.50,28.40
2026-08-17,No especificado,No especificado,No especificado,,PL/994/EXP/ES/2015,,23.99,28.71,
2026-08-17,No especificado,No especificado,No especificado,,PL/9939/EXP/ES/2015,,23.99,29.39,25.39
2026-08-17,No especificado,No especificado,No especificado,,PL/9938/EXP/ES/2015,,19.39,23.69,25.39
2026-08-17,No especificado,No especificado,No especificado,,PL/9937/EXP/ES/2015,,24.50,30.50,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9936/EXP/ES/2015,,24.50,30.50,
2026-08-17,No especificado,No especificado,No especificado,,PL/9935/EXP/ES/2015,,23.99,27.99,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9934/EXP/ES/2015,,23.99,28.86,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9933/EXP/ES/2015,,23.99,28.86,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9932/EXP/ES/2015,,23.99,28.86,27.00
2026-08-17,No especificado,No especificado,No especificado,,PL/9931/EXP/ES/2015,,20.13,24.14,25.15
