Fecha,Ambito,Clave,Producto,Promedio,Estaciones
2026-08-17,estado,Aguascalientes,Diesel,27.0104,158
2026-08-17,estado,Aguascalientes,Premium,29.0936,202
2026-08-17,estado,Aguascalientes,Regular,23.9245,205
2026-08-17,estado,Baja California,Diesel,26.2027,368
2026-08-17,estado,Baja California,Premium,28.1922,574
2026-08-17,estado,Baja California,Regular,22.8653,601
2026-08-17,estado,Baja California Sur,Diesel,27.6736,137
2026-08-17,estado,Baja California Sur,Premium,29.6387,170
2026-08-17,estado,Baja California Sur,Regular,24.3933,182
2026-08-17,estado,Campeche,Diesel,27.0458,118
2026-08-17,estado,Campeche,Premium,28.5597,116
2026-08-17,estado,Campeche,Regular,24.0292,126
2026-08-17,estado,Chiapas,Diesel,26.7798,304
2026-08-17,estado,Chiapas,Premium,28.2864,340
2026-08-17,estado,Chiapas,Regular,23.7855,352
2026-08-17,estado,Chihuahua,Diesel,26.8331,395
2026-08-17,estado,Chihuahua,Premium,26.9145,476
2026-08-17,estado,Chihuahua,Regular,22.4438,597
2026-08-17,estado,Ciudad de México,Diesel,26.9781,167
2026-08-17,estado,Ciudad de México,Premium,28.6549,351
2026-08-17,estado,Ciudad de México,Regular,23.7853,353
2026-08-17,estado,Coahuila,Diesel,27.0650,290
2026-08-17,estado,Coahuila,Premium,28.6836,470
2026-08-17,estado,Coahuila,Regular,23.8397,486
2026-08-17,estado,Colima,Diesel,26.9964,107
2026-08-17,estado,Colima,Premium,28.8351,126
2026-08-17,estado,Colima,Regular,23.8477,130
2026-08-17,estado,Durango,Diesel,27.2702,188
2026-08-17,estado,Durango,Premium,29.1827,196
2026-08-17,estado,Durango,Regular,24.1562,222
2026-08-17,estado,Guanajuato,Diesel,27.0812,609
2026-08-17,estado,Guanajuato,Premium,29.0852,696
2026-08-17,estado,Guanajuato,Regular,23.8588,724
2026-08-17,estado,Guerrero,Diesel,27.0830,201
2026-08-17,estado,Guerrero,Premium,28.8933,253
2026-08-17,estado,Guerrero,Regular,23.8829,252
2026-08-17,estado,Hidalgo,Diesel,26.9877,271
2026-08-17,estado,Hidalgo,Premium,28.0479,286
2026-08-17,estado,Hidalgo,Regular,23.6736,310
2026-08-17,estado,Jalisco,Diesel,27.1259,775
2026-08-17,estado,Jalisco,Premium,29.2882,938
2026-08-17,estado,Jalisco,Regular,23.9737,976
2026-08-17,estado,Michoacán,Diesel,27.0320,509
2026-08-17,estado,Michoacán,Premium,28.9316,539
2026-08-17,estado,Michoacán,Regular,23.9426,556
2026-08-17,estado,Morelos,Diesel,26.9819,158
2026-08-17,estado,Morelos,Premium,28.2873,188
2026-08-17,estado,Morelos,Regular,23.8050,189
2026-08-17,estado,México,Diesel,26.9789,1016
2026-08-17,estado,México,Premium,28.3667,1255
2026-08-17,estado,México,Regular,23.6968,1276
2026-08-17,estado,Nayarit,Diesel,27.3107,138
2026-08-17,estado,Nayarit,Premium,29.3371,148
2026-08-17,estado,Nayarit,Regular,23.9476,164
2026-08-17,estado,Nuevo León,Diesel,27.0229,369
2026-08-17,estado,Nuevo León,Premium,29.5342,710
2026-08-17,estado,Nuevo León,Regular,24.0946,732
2026-08-17,estado,Oaxaca,Diesel,27.4818,279
2026-08-17,estado,Oaxaca,Premium,29.1434,277
2026-08-17,estado,Oaxaca,Regular,24.0624,293
2026-08-17,estado,Puebla,Diesel,27.0020,533
2026-08-17,estado,Puebla,Premium,27.9966,595
2026-08-17,estado,Puebla,Regular,23.7185,627
2026-08-17,estado,Querétaro,Diesel,26.8982,314
2026-08-17,estado,Querétaro,Premium,28.4525,366
2026-08-17,estado,Querétaro,Regular,23.7101,369
