Fecha,Producto,Bloque,Clave,Estaciones,Promedio,Minimo,Maximo,Diferencial_vs_minimo,Estacion_extremo,Permiso_extremo
2026-08-19,Regular,nacional,MX,15034,23.5020,22.50,24.50,1.00,PETROMAX SA DE CV,PL/18945/EXP/ES/2016
2026-08-19,Regular,marca,ARCO NORTE,1,23.3900,23.39,23.39,0.89,ARCO NORTE COMBUSTIBLES S DE RL DE CV,PL/1896/EXP/ES/2015
2026-08-19,Regular,marca,BP,36,23.6608,22.52,24.47,1.16,BP ESTACIONES Y SERVICIOS ENERGETICOS SA DE CV,PL/882/EXP/ES/2015
2026-08-19,Regular,marca,TOTALENERGIES,1,22.8000,22.80,22.80,0.30,TOTALENERGIES MARKETING MEXICO SA DE CV,PL/22347/EXP/ES/2019
2026-08-19,Regular,region,Centro,3560,23.5025,22.50,24.50,1.00,S.G. GASOLINEROS SA DE CV,PL/3480/EXP/ES/2015
2026-08-19,Regular,region,Golfo,1157,23.4820,22.50,24.50,0.98,SERVICIO LOS CAFETOS SA DE CV,PL/9991/EXP/ES/2015
2026-08-19,Regular,region,Noreste,2351,23.5005,22.50,24.50,1.00,PETROMAX SA DE CV,PL/18945/EXP/ES/2016
2026-08-19,Regular,region,Noroeste,2170,23.5103,22.50,24.50,1.01,ROSBELT SA DE CV,PL/5485/EXP/ES/2015
2026-08-19,Regular,region,Norte,891,23.4843,22.50,24.49,0.98,MULTISERVICIOS EL GRANILLO SA DE CV,PL/2013/EXP/ES/2015
2026-08-19,Regular,region,Occidente,3046,23.5103,22.50,24.50,1.01,GASOLINERA SERVICIO FRANCO S DE RL DE CV,PL/7992/EXP/ES/2015
2026-08-19,Regular,region,Sur,972,23.4932,22.51,24.50,0.99,LEONARDO DIAZ CRUZ,PL/4507/EXP/ES/2015
2026-08-19,Regular,region,Sureste,789,23.5065,22.50,24.50,1.01,SERVICIOS ECOLOGICOS MUYIL SA DE CV,PL/13137/EXP/ES/2016
2026-08-19,Premium,nacional,MX,13530,28.5002,27.50,29.50,1.00,ENERGIA Y SERVICIOS COORDINADOS SA DE CV,PL/11514/EXP/ES/2015
2026-08-19,Premium,marca,BP,32,28.5116,27.55,29.45,1.01,BP ESTACIONES Y SERVICIOS ENERGETICOS SA DE CV,PL/1576/EXP/ES/2015
2026-08-19,Premium,marca,TOTALENERGIES,1,27.6000,27.60,27.60,0.10,TOTALENERGIES MARKETING MEXICO SA DE CV,PL/22347/EXP/ES/2019
2026-08-19,Premium,region,Centro,3206,28.4987,27.50,29.50,1.00,HR SOL SERVICIOS ADMINISTRATIVOS FONDO 3 SA DE CV,PL/2543/EXP/ES/2015
2026-08-19,Premium,region,Golfo,1044,28.5056,27.51,29.50,1.01,"AUTOBUSES DE ORIENTE, A.D.O., S.A DE C.V.",PL/12916/EXP/ESA/2015
2026-08-19,Premium,region,Noreste,2115,28.5000,27.50,29.50,1.00,GASOLINERA BALLESTEROS IBARRA SA DE CV,PL/1826/EXP/ES/2015
2026-08-19,Premium,region,Noroeste,1972,28.4970,27.50,29.50,1.00,CORPORATIVO EMPRENDEDOR DEL NOROESTE SA DE CV,PL/7991/EXP/ES/2015
2026-08-19,Premium,region,Norte,808,28.4789,27.50,29.50,0.98,ENERGIA Y SERVICIOS COORDINADOS SA DE CV,PL/11514/EXP/ES/2015
2026-08-19,Premium,region,Occidente,2724,28.5095,27.50,29.50,1.01,ESTACION EL CRUCERO SA DE CV,PL/2031/EXP/ES/2015
2026-08-19,Premium,region,Sur,874,28.5148,27.50,29.50,1.01,ADOLFO YAIR MIJANGOS GOMEZ,PL/4648/EXP/ES/2015
2026-08-19,Premium,region,Sureste,703,28.4842,27.50,29.49,0.98,ESTACION DE SERVICIOS MERICAM SA DE CV,PL/3605/EXP/ES/2015
2026-08-19,Diesel,nacional,MX,10022,27.2537,26.50,28.00,0.75,SERVICIO AGUA DULCE S DE RL DE CV,PL/2122/EXP/ES/2015
2026-08-19,Diesel,marca,BP,25,27.2544,26.52,27.98,0.75,BP ESTACIONES Y SERVICIOS ENERGETICOS SA DE CV,PL/12897/EXP/ES/2015
2026-08-19,Diesel,region,Centro,2380,27.2521,26.50,28.00,0.75,GRUPO EMPRESARIAL MORSAL SA DE CV,CNE/PL/186/EXP/ES/2025
2026-08-19,Diesel,region,Golfo,757,27.2640,26.50,28.00,0.76,KANZ COMBUSTIBLES TRES SA DE CV,PL/2176/EXP/ES/2015
2026-08-19,Diesel,region,Noreste,1549,27.2428,26.50,28.00,0.74,ENERGIA Y SERVICIOS COORDINADOS SA DE CV,PL/2334/EXP/ES/2015
2026-08-19,Diesel,region,Noroeste,1505,27.2687,26.50,28.00,0.77,DAGAL SA DE CV,PL/6753/EXP/ES/2015
2026-08-19,Diesel,region,Norte,606,27.2480,26.51,28.00,0.75,GASOLINERA 7 LEGUAS SA DE CV,PL/22057/EXP/ES/2019
2026-08-19,Diesel,region,Occidente,2001,27.2583,26.50,28.00,0.76,SIMBA EXPRESS SA DE CV,PL/7363/EXP/ES/2015
2026-08-19,Diesel,region,Sur,621,27.2331,26.50,28.00,0.73,JOSE LOPEZ GOMEZ,PL/25890/EXP/ES/2024
2026-08-19,Diesel,region,Sureste,536,27.2406,26.50,28.00,0.74,SERVICIO AGUA DULCE S DE RL DE CV,PL/2122/EXP/ES/2015
